"","time","s.num","i.num","num","se.flow","is.flow","ei.flow","iq.flow","iq2h.flow","hf.flow","ds.flow","de.flow","di.flow","dq.flow","dh.flow","dr.flow","a.flow","e.num","r.num","q.num","h.num","f.num","p.num","a.num"
"1",1,9997,3,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"2",2,9998,3,10001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3",3,9998,3,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,9998,3,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,9997,3,10002,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0
"6",6,9996,3,10002,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"7",7,9992,4,10002,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1
"8",8,9994,4,10004,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,1
"9",9,9993,4,10005,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,4,0
"10",10,9986,4,10005,2,1,1,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,9,0
"11",11,9984,4,10005,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,9,0
"12",12,9979,5,10005,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,14,0
"13",13,9970,6,10005,4,1,1,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,19,0
"14",14,9965,7,10004,0,1,1,0,0,0,1,0,0,0,0,0,0,2,4,2,0,0,23,1
"15",15,9962,7,10004,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,23,1
"16",16,9952,7,10004,5,2,1,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,28,1
"17",17,9943,7,10004,5,2,1,1,0,0,0,0,0,0,0,0,0,11,8,3,0,0,32,0
"18",18,9933,8,10004,1,2,2,0,0,0,0,0,0,0,0,0,0,9,10,3,0,0,41,0
"19",19,9919,9,10002,4,3,2,0,0,0,3,0,0,0,0,0,1,9,13,3,0,0,49,0
"20",20,9907,9,10002,4,3,2,1,0,0,0,0,0,0,0,0,0,9,16,4,0,0,57,0
"21",21,9898,10,10002,1,3,2,1,0,0,0,0,0,0,0,0,0,6,19,4,0,0,65,0
"22",22,9885,11,10002,6,2,2,0,0,0,0,0,0,0,0,0,0,8,21,4,0,0,72,1
"23",23,9880,9,10002,3,2,1,2,0,0,0,0,0,0,0,0,0,9,23,6,0,0,74,1
"24",24,9870,9,10002,4,3,2,1,0,0,0,0,0,0,0,0,0,9,26,7,0,0,80,1
"25",25,9858,11,10003,7,3,2,0,0,0,0,0,0,0,0,0,1,12,29,7,0,0,86,0
"26",26,9849,12,10004,5,3,2,1,0,0,0,0,0,0,0,0,1,13,32,7,0,0,91,0
"27",27,9836,13,10004,4,3,3,1,0,0,0,0,0,0,0,0,0,11,35,8,0,0,100,1
"28",28,9819,16,10003,7,4,3,0,0,0,1,0,0,0,0,0,0,13,39,6,0,0,109,1
"29",29,9811,16,10003,5,4,2,0,0,0,1,0,0,0,0,0,1,14,43,6,0,0,112,1
"30",30,9799,18,10004,5,4,3,0,0,0,0,0,0,0,0,0,1,14,47,6,0,0,120,0
"31",31,9786,20,10004,8,5,3,0,0,0,0,0,0,0,0,0,0,15,52,5,0,0,125,1
"32",32,9772,20,10004,5,4,4,1,1,0,1,0,0,0,0,0,1,12,56,6,1,0,134,3
"33",33,9764,22,10005,4,4,3,0,0,0,0,0,0,0,0,0,1,10,61,6,1,0,139,2
"34",34,9753,23,10005,10,4,2,0,0,0,0,0,0,0,0,0,0,17,65,5,1,0,140,1
"35",35,9739,22,10005,9,4,3,2,0,0,0,0,0,0,0,0,0,20,69,8,1,0,145,1
"36",36,9714,23,10005,16,5,4,0,1,0,0,0,0,0,0,0,0,29,74,7,2,0,154,2
"37",37,9690,25,10005,10,7,5,1,0,0,0,0,0,0,0,0,0,30,81,8,2,0,168,1
"38",38,9651,27,10004,15,8,7,1,0,0,1,0,0,0,0,0,0,33,89,9,2,0,191,2
"39",39,9626,28,10003,5,9,7,2,0,0,1,0,0,0,0,0,0,23,99,13,2,0,210,2
"40",40,9599,32,10003,12,8,6,0,0,0,0,0,0,0,0,0,0,24,107,12,2,0,225,2
"41",41,9574,33,10004,11,9,6,1,0,0,0,0,0,0,0,0,1,25,116,13,2,0,240,1
"42",42,9553,32,10006,12,9,5,2,1,0,0,0,0,0,0,0,2,28,125,14,3,0,250,1
"43",43,9522,35,10005,14,9,6,2,2,0,1,0,0,0,0,0,0,32,134,11,4,0,263,4
"44",44,9496,38,10005,6,10,7,1,0,0,0,0,0,0,0,0,0,25,144,12,3,0,283,4
"45",45,9467,40,10006,13,9,7,1,1,0,0,0,0,0,0,0,1,25,154,12,4,0,300,4
"46",46,9443,41,10006,16,10,6,1,0,1,0,0,0,0,0,0,0,27,166,15,1,1,307,5
"47",47,9422,41,10006,20,8,4,1,0,0,0,0,0,0,0,0,0,40,175,17,0,1,308,2
"48",48,9393,41,10006,18,11,7,2,1,0,0,0,0,0,0,0,0,44,186,18,1,1,319,3
"49",49,9351,44,10007,23,13,9,3,0,0,0,0,0,0,0,0,1,51,200,19,1,1,337,3
"50",50,9308,46,10006,21,14,10,4,0,0,1,0,0,0,0,0,0,52,215,22,1,1,358,3
"51",51,9267,50,10006,16,15,11,2,1,0,0,0,0,0,0,0,0,49,231,23,1,1,382,2
"52",52,9219,56,10007,19,16,12,2,2,0,0,0,0,0,0,0,1,46,247,21,3,1,409,5
"53",53,9180,64,10007,16,16,11,1,0,0,0,0,0,0,0,0,0,42,264,18,2,1,432,4
"54",54,9137,68,10006,27,15,9,1,0,0,1,0,0,0,0,0,0,51,280,16,2,1,444,7
"55",55,9083,66,10007,32,15,11,4,2,0,0,0,0,0,0,0,1,61,296,21,4,1,466,9
"56",56,9032,68,10006,20,16,12,3,3,0,1,0,0,0,0,0,0,59,314,22,7,1,496,7
"57",57,8971,76,10006,30,18,13,0,1,0,0,0,0,0,0,0,0,63,334,21,7,1,527,6
"58",58,8899,82,10006,39,20,14,0,1,0,0,0,0,0,0,0,0,73,355,21,7,1,560,8
"59",59,8822,84,10006,35,21,16,6,1,0,0,0,0,0,0,0,0,79,377,26,7,1,600,10
"60",60,8754,88,10006,25,23,17,2,2,0,0,0,0,0,0,0,0,71,403,28,8,1,640,13
"61",61,8683,89,10005,35,24,16,3,3,1,1,0,0,0,0,0,0,76,430,32,8,2,672,13
"62",62,8626,89,10005,27,24,16,7,1,3,0,0,0,0,0,0,0,72,458,39,4,5,701,11
"63",63,8576,94,10007,28,24,16,2,1,0,0,0,0,0,0,0,2,69,486,39,4,5,719,15
"64",64,8511,99,10007,42,26,16,3,0,0,0,0,0,0,0,0,0,80,515,40,2,5,739,16
"65",65,8445,104,10007,39,27,17,1,0,1,0,0,0,0,0,0,0,86,545,41,1,6,766,13
"66",66,8384,111,10007,36,28,17,2,2,0,0,0,0,0,0,0,0,85,576,40,2,6,789,14
"67",67,8314,112,10007,36,28,18,5,1,0,0,0,0,0,0,0,0,89,607,45,3,6,821,10
"68",68,8236,114,10008,43,31,19,4,1,0,0,0,0,0,0,0,1,97,640,48,3,6,854,10
"69",69,8157,120,10008,41,33,21,4,0,0,0,0,0,0,0,0,0,98,675,49,2,6,889,12
"70",70,8066,129,10008,48,34,23,3,1,0,0,0,0,0,0,0,0,102,711,48,2,6,923,21
"71",71,7995,132,10008,37,35,22,5,2,0,0,0,0,0,0,0,0,95,750,54,1,6,953,22
